Time,gas_type,Gas concentration (ppb)
"Jan 1, 2020, 8 PM",TOL,0.0012304922080753993
"Jan 1, 2020, 9 PM",PMXY,0.00026368091130279936
"Jan 1, 2020, 9 PM",ETHB,0.0013732502314572532
"Jan 1, 2020, 9 PM",OXY,0.0005536180093865065
"Jan 1, 2020, 9 PM",TOL,0.0012645309422320377
"Jan 1, 2020, 10 PM",PMXY,0.00028004185636139783
"Jan 1, 2020, 10 PM",ETHB,0.0009870139959578712
"Jan 1, 2020, 10 PM",OXY,0.0007079097752769788
"Jan 1, 2020, 10 PM",TOL,0.001524235313506021
"Jan 1, 2020, 11 PM",PMXY,0.00043400200714434806
"Jan 1, 2020, 11 PM",ETHB,0.0008466556755593047
"Jan 1, 2020, 11 PM",OXY,0.0006639711743143076
"Jan 1, 2020, 11 PM",TOL,0.0013397088963150356
"Jan 2, 2020, 12 AM",ETHB,0.003018510906258598
"Jan 2, 2020, 12 AM",OXY,0.0012495215826978285
"Jan 2, 2020, 12 AM",PMXY,0.0005436691620464748
"Jan 2, 2020, 12 AM",TOL,0.0010518200579099357
"Jan 2, 2020, 1 AM",OXY,0.0005853648181073368
"Jan 2, 2020, 1 AM",ETHB,0.0007826938069359
"Jan 2, 2020, 1 AM",PMXY,0.0003611884208761954
"Jan 2, 2020, 1 AM",TOL,0.001073797678275566
"Jan 2, 2020, 2 AM",OXY,0.0007326107515837066
"Jan 2, 2020, 2 AM",TOL,0.0010669345113759239
"Jan 2, 2020, 2 AM",PMXY,0.0005403917602961883
"Jan 2, 2020, 2 AM",ETHB,0.0008689015521667898
"Jan 2, 2020, 3 AM",TOL,0.0015553169747969757
"Jan 2, 2020, 3 AM",PMXY,0.00022173746098512007
"Jan 2, 2020, 3 AM",ETHB,0.001117560927620313
"Jan 2, 2020, 3 AM",OXY,0.00094916388237228
"Jan 2, 2020, 4 AM",TOL,0.0017113601982903977
"Jan 2, 2020, 4 AM",PMXY,0.0003693991905796186
"Jan 2, 2020, 4 AM",ETHB,0.0012440396996680648
"Jan 2, 2020, 4 AM",OXY,0.0014351042239771534
"Jan 2, 2020, 5 AM",TOL,0.0012590144469868392
"Jan 2, 2020, 5 AM",PMXY,0.00035292514075990766
"Jan 2, 2020, 5 AM",OXY,0.0010730071420160432
"Jan 2, 2020, 5 AM",ETHB,0.0018469708544823031
"Jan 2, 2020, 6 AM",ETHB,0.0010472282519913279
"Jan 2, 2020, 6 AM",PMXY,0.0005035551597150819
"Jan 2, 2020, 6 AM",OXY,0.0006583492843977486
"Jan 2, 2020, 6 AM",TOL,0.00150868446022893
"Jan 2, 2020, 7 AM",TOL,0.0016774837858974934
"Jan 2, 2020, 7 AM",OXY,0.0009798826819557387
"Jan 2, 2020, 7 AM",ETHB,0.0012761053585563786
"Jan 2, 2020, 7 AM",PMXY,0.0003095596014948872
"Jan 2, 2020, 8 AM",OXY,0.0015001482291457553
"Jan 2, 2020, 8 AM",TOL,0.0015903804548239957
"Jan 2, 2020, 8 AM",ETHB,0.0017336802751136322
"Jan 2, 2020, 8 AM",PMXY,0.0002772928285897554
"Jan 2, 2020, 9 AM",OXY,0.0010965198064999033
"Jan 2, 2020, 9 AM",TOL,0.0016711532710663353
"Jan 2, 2020, 9 AM",ETHB,0.0011859894342099626
"Jan 2, 2020, 9 AM",PMXY,0.00013834870757515697
"Jan 2, 2020, 10 AM",OXY,0.001205772627145052
"Jan 2, 2020, 10 AM",TOL,0.0015565241240741063
"Jan 2, 2020, 10 AM",BENZ,0.005242461804300547
"Jan 2, 2020, 10 AM",ETHB,0.0020853077488330505
"Jan 2, 2020, 10 AM",PMXY,0.0005724913765637515
"Jan 2, 2020, 11 AM",OXY,0.0008136748680650877
"Jan 2, 2020, 11 AM",TOL,0.0009714108406721303
"Jan 2, 2020, 11 AM",ETHB,0.0013690256358434756
