datetime-dronetest,T-VOC concentration (ppb)
"Jan 6, 2020, 7 AM",165.0153912153998
"Jan 6, 2020, 8 AM",161.20844590559807
"Jan 6, 2020, 9 AM",155.81123335365925
"Jan 6, 2020, 10 AM",148.15072226541656
"Jan 6, 2020, 11 AM",124.7912044083721
"Jan 6, 2020, 12 PM",99.69386895617603
"Jan 6, 2020, 1 PM",90.76966159667596
"Jan 6, 2020, 2 PM",84.20038027271883
"Jan 6, 2020, 3 PM",84.66794386988941
"Jan 6, 2020, 4 PM",90.53790493537717
"Jan 6, 2020, 5 PM",87.17664690339252
"Jan 6, 2020, 6 PM",94.25881999336431
"Jan 6, 2020, 7 PM",102.37116370650129
"Jan 6, 2020, 8 PM",112.06626855712145
"Jan 6, 2020, 9 PM",125.41764826237379
"Jan 6, 2020, 10 PM",139.4024178321801
"Jan 6, 2020, 11 PM",137.28355075201262
"Jan 7, 2020, 12 AM",124.48071227794284
"Jan 7, 2020, 1 AM",64.4395508914631
"Jan 7, 2020, 2 AM",43.811814735818295
"Jan 7, 2020, 3 AM",42.0239046290291
"Jan 7, 2020, 4 AM",41.458162133599295
"Jan 7, 2020, 5 AM",49.932924162028286
"Jan 7, 2020, 6 AM",61.43421473248737
"Jan 7, 2020, 7 AM",66.9387515221908
"Jan 7, 2020, 8 AM",63.227512485167
"Jan 7, 2020, 9 AM",47.16127190205277
"Jan 7, 2020, 10 AM",20.64501823836165
"Jan 7, 2020, 11 AM",13.093652561221251
"Jan 7, 2020, 12 PM",10.187390383813938
"Jan 7, 2020, 1 PM",11.171900074801592
"Jan 7, 2020, 2 PM",11.094005441801514
"Jan 7, 2020, 3 PM",13.229934421219257
"Jan 7, 2020, 4 PM",26.632281669110558
"Jan 7, 2020, 5 PM",17.874463985606884
"Jan 7, 2020, 6 PM",39.76351972907396
"Jan 7, 2020, 7 PM",53.67176355413595
"Jan 7, 2020, 8 PM",78.9352591067242
"Jan 7, 2020, 9 PM",95.37444118993965
"Jan 7, 2020, 10 PM",106.78782960445598
"Jan 7, 2020, 11 PM",111.5534193897723
"Jan 8, 2020, 12 AM",115.67085823541609
"Jan 8, 2020, 1 AM",126.4695075039875
"Jan 8, 2020, 2 AM",131.20939447650977
"Jan 8, 2020, 3 AM",130.38941073174155
"Jan 8, 2020, 4 AM",131.00317308292745
"Jan 8, 2020, 5 AM",138.28025097504664
"Jan 8, 2020, 6 AM",143.81301867817493
"Jan 8, 2020, 7 AM",155.53776659081007
"Jan 8, 2020, 8 AM",243.44510687810003
"Jan 8, 2020, 9 AM",151.72068844927915
"Jan 8, 2020, 10 AM",94.01427037765872
"Jan 8, 2020, 11 AM",90.97372099569921
"Jan 8, 2020, 12 PM",90.39865086263892
"Jan 8, 2020, 1 PM",86.23095293016762
"Jan 8, 2020, 2 PM",95.45258628580152
"Jan 8, 2020, 3 PM",106.23845602347772
"Jan 8, 2020, 4 PM",113.68705376902881
"Jan 8, 2020, 5 PM",124.4419549480681
"Jan 8, 2020, 6 PM",132.3557317088393
"Jan 8, 2020, 7 PM",141.2415437686418
"Jan 8, 2020, 8 PM",161.87194720198104
"Jan 8, 2020, 9 PM",171.8507163724909
"Jan 8, 2020, 10 PM",175.75018596583664
"Jan 8, 2020, 11 PM",181.22436303667772
"Jan 9, 2020, 12 AM",184.83712980716606
"Jan 9, 2020, 1 AM",183.19146888611579
"Jan 9, 2020, 2 AM",182.91098167603295
"Jan 9, 2020, 3 AM",181.33627299326088
"Jan 9, 2020, 4 AM",186.97830535676167
"Jan 9, 2020, 5 AM",188.35369761879952
"Jan 9, 2020, 6 AM",192.4572348342672
"Jan 9, 2020, 7 AM",192.57938723361866
"Jan 9, 2020, 8 AM",192.61594930721012
"Jan 9, 2020, 9 AM",198.8833395702605
"Jan 9, 2020, 10 AM",189.82280213968784
"Jan 9, 2020, 11 AM",180.6787402278957
"Jan 9, 2020, 12 PM",164.36465380097937
"Jan 9, 2020, 1 PM",168.9942246742398
"Jan 9, 2020, 2 PM",192.7127993294097
"Jan 9, 2020, 3 PM",188.83390260681162
"Jan 9, 2020, 4 PM",187.3491304781621
"Jan 9, 2020, 5 PM",190.73625013576225
"Jan 9, 2020, 6 PM",200.34625761885857
"Jan 9, 2020, 7 PM",205.16754465080453
"Jan 9, 2020, 8 PM",205.52264331971716
"Jan 9, 2020, 9 PM",207.87300310555062
"Jan 9, 2020, 10 PM",208.60221850697218
"Jan 9, 2020, 11 PM",210.8915032984069
"Jan 10, 2020, 12 AM",212.91019456983514
"Jan 10, 2020, 1 AM",215.299663606947
"Jan 10, 2020, 2 AM",217.798495422955
"Jan 10, 2020, 3 AM",215.42181239046786
"Jan 10, 2020, 4 AM",216.21391190685748
"Jan 10, 2020, 5 AM",216.3400790834343
"Jan 10, 2020, 6 AM",218.78515314086914
"Jan 10, 2020, 7 AM",219.37878212704166
"Jan 10, 2020, 8 AM",222.1967845140002
"Jan 10, 2020, 9 AM",216.90106796692268
"Jan 10, 2020, 10 AM",203.660872641583
"Jan 10, 2020, 11 AM",197.68785678861295
"Jan 10, 2020, 12 PM",200.0093670674915
"Jan 10, 2020, 1 PM",206.5385603387191
"Jan 10, 2020, 2 PM",209.67517645871786
"Jan 10, 2020, 3 PM",212.27055818298714
"Jan 10, 2020, 4 PM",215.21920414478583
"Jan 10, 2020, 5 PM",218.7970480182145
"Jan 10, 2020, 6 PM",221.01740182066743
"Jan 10, 2020, 7 PM",222.95115559871553
"Jan 10, 2020, 8 PM",229.42340400942916
"Jan 10, 2020, 9 PM",234.84874446712223
"Jan 10, 2020, 10 PM",237.78113727044465
"Jan 10, 2020, 11 PM",239.2831605268115
"Jan 11, 2020, 12 AM",198.4894791974844
"Jan 11, 2020, 1 AM",180.69250931076053
"Jan 11, 2020, 2 AM",175.3609478298243
"Jan 11, 2020, 3 AM",179.1824781949263
"Jan 11, 2020, 4 AM",166.5319621634841
"Jan 11, 2020, 5 AM",166.04264659459642
"Jan 11, 2020, 6 AM",164.26205340287365
"Jan 11, 2020, 7 AM",162.96197790046878
"Jan 11, 2020, 8 AM",141.01004865242197
"Jan 11, 2020, 9 AM",122.88955714527782
"Jan 11, 2020, 10 AM",111.35645088150768
"Jan 11, 2020, 11 AM",99.57344252300996
"Jan 11, 2020, 12 PM",101.18519296984424
"Jan 11, 2020, 1 PM",92.89658233683144
"Jan 11, 2020, 2 PM",80.82703506340961
"Jan 11, 2020, 3 PM",69.48659110066117
"Jan 11, 2020, 4 PM",63.72021393919786
"Jan 11, 2020, 5 PM",71.39847598541637
"Jan 11, 2020, 6 PM",80.35376622989561
"Jan 11, 2020, 7 PM",87.74519089964718
"Jan 11, 2020, 8 PM",92.70898099335088
"Jan 11, 2020, 9 PM",97.24622645374944
"Jan 11, 2020, 10 PM",100.93396265029538
"Jan 11, 2020, 11 PM",104.95264256217405
"Jan 12, 2020, 12 AM",111.56050304886983
"Jan 12, 2020, 1 AM",109.71041994046098
"Jan 12, 2020, 2 AM",116.42212708153701
"Jan 12, 2020, 3 AM",116.85240537095967
"Jan 12, 2020, 4 AM",121.85644805712447
"Jan 12, 2020, 5 AM",120.45947552672231
"Jan 12, 2020, 6 AM",120.30770103794748
"Jan 12, 2020, 7 AM",131.62177474824486
"Jan 12, 2020, 8 AM",160.3929326808986
"Jan 12, 2020, 9 AM",174.4568384743918
"Jan 12, 2020, 10 AM",168.654853663092
"Jan 12, 2020, 11 AM",133.5230507860659
"Jan 12, 2020, 12 PM",118.36546728182168
"Jan 12, 2020, 1 PM",121.87839373821724
"Jan 12, 2020, 2 PM",125.30684113411884
"Jan 12, 2020, 3 PM",130.84904644157228
"Jan 12, 2020, 4 PM",134.6786714460754
"Jan 12, 2020, 5 PM",136.4700221517452
"Jan 12, 2020, 6 PM",141.7729021257689
"Jan 12, 2020, 7 PM",150.08821566764655
"Jan 12, 2020, 8 PM",151.7470297750855
"Jan 12, 2020, 9 PM",157.9069009051588
"Jan 12, 2020, 10 PM",163.84916773484025
"Jan 12, 2020, 11 PM",154.90376196590145
"Jan 13, 2020, 12 AM",154.25391042997416
"Jan 13, 2020, 1 AM",183.14930697958673
"Jan 13, 2020, 2 AM",173.05167352164295
"Jan 13, 2020, 3 AM",197.16783526564447
"Jan 13, 2020, 4 AM",227.56125005325308
"Jan 13, 2020, 5 AM",207.81924293642373
"Jan 13, 2020, 6 AM",222.06366771104032
"Jan 13, 2020, 7 AM",229.6611050962086
"Jan 13, 2020, 8 AM",211.96449711685912
"Jan 13, 2020, 9 AM",233.27130703753582
"Jan 13, 2020, 10 AM",240.26862863646335
"Jan 13, 2020, 11 AM",237.77126243711885
"Jan 13, 2020, 12 PM",235.7902609507453
"Jan 13, 2020, 1 PM",242.47998263659224
"Jan 13, 2020, 2 PM",223.39042804315707
"Jan 13, 2020, 3 PM",205.1502066362332
"Jan 13, 2020, 4 PM",209.40455202919182
"Jan 13, 2020, 5 PM",211.19210898986069
"Jan 13, 2020, 6 PM",211.0962918899312
"Jan 13, 2020, 7 PM",213.64047345312727
"Jan 13, 2020, 8 PM",223.30667938044115
"Jan 13, 2020, 9 PM",234.36988273404
"Jan 13, 2020, 10 PM",223.2196475435545
"Jan 13, 2020, 11 PM",222.14778398319908
"Jan 14, 2020, 12 AM",235.09066884402404
"Jan 14, 2020, 1 AM",241.6451367710355
"Jan 14, 2020, 2 AM",240.63177373370291
"Jan 14, 2020, 3 AM",244.3779965234325
"Jan 14, 2020, 4 AM",244.29756424915593
"Jan 14, 2020, 5 AM",240.63872456536276
"Jan 14, 2020, 6 AM",245.07797016943587
"Jan 14, 2020, 7 AM",245.2505826898677
"Jan 14, 2020, 8 AM",243.7786395281312
"Jan 14, 2020, 9 AM",245.8271966442772
"Jan 14, 2020, 10 AM",251.83393266630975
"Jan 14, 2020, 11 AM",258.09948608742314
"Jan 14, 2020, 12 PM",261.8171999300664
"Jan 14, 2020, 1 PM",237.52478452423466
"Jan 14, 2020, 2 PM",242.3900653668995
"Jan 14, 2020, 3 PM",232.58807174310084
"Jan 14, 2020, 4 PM",235.89907937217893
"Jan 14, 2020, 5 PM",228.6557933083101
"Jan 14, 2020, 6 PM",238.4934860669847
"Jan 14, 2020, 7 PM",244.11263800778988
"Jan 14, 2020, 8 PM",243.5460094659186
"Jan 14, 2020, 9 PM",236.78348791164095
"Jan 14, 2020, 10 PM",232.20211113339127
"Jan 14, 2020, 11 PM",226.5264311514408
"Jan 15, 2020, 12 AM",227.1993639862473
"Jan 15, 2020, 1 AM",232.15655824226678
"Jan 15, 2020, 2 AM",233.51557082718764
"Jan 15, 2020, 3 AM",241.28641682803413
"Jan 15, 2020, 4 AM",238.45330814305046
"Jan 15, 2020, 5 AM",235.44086043239503
"Jan 15, 2020, 6 AM",241.64251470110295
"Jan 15, 2020, 7 AM",248.1889511076793
"Jan 15, 2020, 8 AM",252.50138363520904
"Jan 15, 2020, 9 AM",252.95781059708273
"Jan 15, 2020, 10 AM",260.9353257815851
"Jan 15, 2020, 11 AM",248.83982764266355
"Jan 15, 2020, 12 PM",246.67250035734452
"Jan 15, 2020, 1 PM",228.40013150188005
"Jan 15, 2020, 2 PM",219.57683265778974
"Jan 15, 2020, 3 PM",201.32249404870083
"Jan 15, 2020, 4 PM",194.1483555213727
"Jan 15, 2020, 5 PM",207.4350881049709
"Jan 15, 2020, 6 PM",222.19495851955494
"Jan 15, 2020, 7 PM",230.47882156701073
"Jan 15, 2020, 8 PM",230.24841843162727
"Jan 15, 2020, 9 PM",231.84946168275184
"Jan 15, 2020, 10 PM",230.60937474608633
"Jan 15, 2020, 11 PM",233.24973499227013
"Jan 16, 2020, 12 AM",234.80139757617494
"Jan 16, 2020, 1 AM",237.52953331506873
"Jan 16, 2020, 2 AM",236.33246203779365
"Jan 16, 2020, 3 AM",241.43266212896575
"Jan 16, 2020, 4 AM",242.18519129951113
"Jan 16, 2020, 5 AM",252.04896129004885
"Jan 16, 2020, 6 AM",247.9805420126529
"Jan 16, 2020, 7 AM",283.03368337457744
"Jan 16, 2020, 8 AM",249.0476495505133
"Jan 16, 2020, 9 AM",244.07192316265198
"Jan 16, 2020, 10 AM",241.03844378896196
"Jan 16, 2020, 11 AM",240.06237804410608
"Jan 16, 2020, 12 PM",232.34718510957677
"Jan 16, 2020, 1 PM",230.0136437570675
"Jan 16, 2020, 2 PM",240.42405993523576
"Jan 16, 2020, 3 PM",264.81449086599207
"Jan 16, 2020, 4 PM",229.35821540510221
"Jan 16, 2020, 5 PM",225.10777160026365
"Jan 16, 2020, 6 PM",230.90193641976722
"Jan 16, 2020, 7 PM",226.63274516562547
"Jan 16, 2020, 8 PM",229.34038936032175
"Jan 16, 2020, 9 PM",227.08181984442356
"Jan 16, 2020, 10 PM",224.5756719978667
"Jan 16, 2020, 11 PM",220.00723611610667
"Jan 17, 2020, 12 AM",212.52435453697396
"Jan 17, 2020, 1 AM",203.7808097420632
"Jan 17, 2020, 2 AM",199.75350747710434
"Jan 17, 2020, 3 AM",200.62846355374586
"Jan 17, 2020, 4 AM",200.19218707766282
"Jan 17, 2020, 5 AM",211.91835943984117
"Jan 17, 2020, 6 AM",227.98034530767674
"Jan 17, 2020, 7 AM",225.3465694889869
"Jan 17, 2020, 8 AM",208.33791512230806
"Jan 17, 2020, 9 AM",205.57457267329147
"Jan 17, 2020, 10 AM",210.43034388151955
"Jan 17, 2020, 11 AM",217.75081949142458
"Jan 17, 2020, 12 PM",217.45762504739167
"Jan 17, 2020, 1 PM",205.36416387576227
"Jan 17, 2020, 2 PM",203.83693345911553
"Jan 17, 2020, 3 PM",205.45190079961273
"Jan 17, 2020, 4 PM",207.91140202107871
"Jan 17, 2020, 5 PM",209.24030654073206
"Jan 17, 2020, 6 PM",214.081877176979
"Jan 17, 2020, 7 PM",218.36715589366634
"Jan 17, 2020, 8 PM",220.04719492663506
"Jan 17, 2020, 9 PM",219.149996898017
"Jan 17, 2020, 10 PM",223.21891955633032
"Jan 17, 2020, 11 PM",230.99597212049542
"Jan 18, 2020, 12 AM",237.55184660560425
"Jan 18, 2020, 1 AM",243.79398993423823
"Jan 18, 2020, 2 AM",246.181871569459
"Jan 18, 2020, 3 AM",247.91727220908928
"Jan 18, 2020, 4 AM",248.95449707074152
"Jan 18, 2020, 5 AM",255.27152088192835
"Jan 18, 2020, 6 AM",258.23113486316583
"Jan 18, 2020, 7 AM",251.49126040183847
